Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,SPY,Sector
DLR,2017-05-10,114.15,131.936296651,0.155815126158,46.0,3,1,0.952522158396,301.936855873,0.127688374682,0.084491,Real Estate
DLTR,2017-05-25,72.24,235.432957416,2.25903872392,58.0,8,3,0.941546006505,115.765731051,0.211127223247,0.07901,Consumer Discretionary
DOV,2017-07-20,83.86,86.6413188359,0.0331662155488,64.0,3,1,0.896739071057,183.36830411,0.170398146285,0.061066,Industrials
DOW,2017-07-27,66.1,70.7047821356,0.0696638749706,64.0,3,1,0.77837036684,74.7526722876,0.195151839284,0.351983,Materials
DPS,2017-07-27,92.03,91.0088422624,-0.0110959223908,34.0,5,1,0.978188551672,296.993385854,0.0744821249208,0.079249,Consumer Staples
DRI,2017-07-21,84.49,81.5197535109,-0.0351550063801,64.0,2,1,0.904554164476,299.530114223,0.163593536258,0.052537,Consumer Discretionary
DTE,2017-07-26,107.35,119.011334412,0.108629104911,64.0,2,1,0.961349096082,784.487407968,0.102345039455,0.090306,Utilities
DUK,2017-05-09,85.05,88.2282138785,0.0373687698821,41.0,2,0,0.879032481883,146.333639239,0.115712347566,0.280121,Utilities
DVA,2017-05-02,64.88,223.688381882,2.44772475158,63.0,5,2,0.905630688334,119.998648364,0.221687204088,0.048722,Health Care
DVN,2017-05-03,33.47,39.0813097568,0.167651919834,63.0,3,1,0.797479607161,82.3806697865,0.206521565016,0.079327,Energy
EA,2017-05-24,117.6,133.143187156,0.132169958806,62.0,1,1,0.764588284258,199.120493675,0.268033426956,0.162727,Information Technology
EBAY,2017-07-21,36.17,38.3251248697,0.0595832145336,65.0,3,0,0.641094440268,39.1066300634,0.298360571022,0.177098,Information Technology
ECL,2017-05-04,131.82,117.17863017,-0.111070928767,64.0,5,1,0.964036689306,338.757065486,0.115251207093,0.163773,Materials
ED,2017-05-04,82.29,85.8697127074,0.0435011873542,63.0,2,1,0.971200940674,1046.42404736,0.0695486326526,0.118483,Utilities
EFX,2017-07-27,142.68,161.170542809,0.129594496841,65.0,5,1,0.937588603092,193.29074679,0.14969178154,0.0808,Industrials
EIX,2017-07-27,79.22,83.7396772447,0.0570522247505,42.0,3,1,0.921307465948,161.005039694,0.103404500277,0.120465,Utilities
EL,2017-05-03,99.53,112.25931541,0.127894257112,65.0,2,1,0.95050367973,615.512706917,0.157485685665,0.102549,Consumer Staples
EMN,2017-05-05,85.02,99.2431166922,0.167291421927,64.0,2,1,0.891145877194,258.87810703,0.224972147576,0.059397,Materials
EMR,2017-05-04,59.91,43.3735359846,-0.276021766239,50.0,3,1,0.856779518816,98.7099459399,0.1124907173,0.183343,Industrials
EOG,2017-05-08,95.98,79.0669252484,-0.176214573365,63.0,3,1,0.936414196635,305.353472623,0.196427078493,0.255041,Energy
EQIX,2017-05-05,442.87,646.818624021,0.460515781201,65.0,3,1,0.859713249821,131.736147969,0.43582511581,0.161547,Real Estate
EQR,2017-05-04,67.5,53.4780892947,-0.207732010449,63.0,3,1,0.934095810861,293.919873683,0.142154234248,0.116204,Real Estate
EQT,2017-07-27,67.02,111.679482489,0.666360526545,65.0,4,1,0.912513182096,167.884694898,0.175090019789,0.049908,Energy
ES,2017-05-05,60.71,60.0055810786,-0.0116030130365,64.0,4,1,0.940294310133,249.043953895,0.134503643415,0.090556,Utilities
ESRX,2017-07-25,62.33,89.9775021408,0.443566535229,65.0,3,2,0.932030070601,293.530952269,0.229943176977,0.175401,Health Care
ESS,2017-05-01,264.04,403.024764079,0.526377685497,64.0,3,1,0.885627660315,163.610828088,0.217153134873,0.081751,Real Estate
ETFC,2017-05-04,40.72,34.4446251607,-0.154110384068,64.0,2,1,0.90865202886,314.33524491,0.319821041683,0.051774,Financials
ETN,2017-05-02,78.49,75.215112062,-0.0417236327944,63.0,3,1,0.903281003647,194.010764303,0.17128976049,0.16851,Industrials
ETR,2017-05-05,76.15,54.6872673421,-0.281848097937,63.0,3,1,0.897046157913,181.070539907,0.10976815715,0.064662,Utilities
EW,2017-04-28,116.36,142.244426292,0.222451240044,64.0,3,1,0.959997930126,504.972834306,0.178858753778,0.11875,Health Care
EXC,2017-05-03,37.99,34.1304378605,-0.101594160029,65.0,2,1,0.816446885981,143.336459346,0.159616548532,0.164258,Utilities
EXPD,2017-05-04,58.64,40.1147877151,-0.315914261339,64.0,3,1,0.844960911915,115.449713097,0.169448076192,0.049951,Industrials
EXPE,2017-04-28,154.25,175.583431126,0.138304253652,44.0,4,1,0.85634193929,65.0804685925,0.236716176418,0.087737,Consumer Discretionary
EXR,2017-05-05,76.5,62.5840588101,-0.181907727972,50.0,2,1,0.947244559565,440.907079114,0.201284248303,0.04548,Real Estate
F,2017-07-26,11.18,9.65206934676,-0.136666426945,64.0,1,1,0.5326987001,72.8166590025,0.304466244122,0.215858,Consumer Discretionary
FAST,2017-07-17,43.8,49.0054174769,0.118845147875,60.0,5,3,0.963247975488,310.270747983,0.129173791896,0.058035,Industrials
FCX,2017-05-05,14.5,15.2973950844,0.0549927644381,64.0,3,1,0.768531285368,70.725003737,0.32091688866,0.08113,Materials
FDX,2017-07-17,207.54,236.490388104,0.139493052444,66.0,2,1,0.885197311752,251.594416133,0.137263626358,0.244887,Industrials
FE,2017-07-27,31.25,25.1023952519,-0.196723351938,67.0,5,1,0.752159387269,41.0600361764,0.142380169831,0.065166,Utilities
FFIV,2017-05-10,119.02,141.166470899,0.186073524611,64.0,3,1,0.923591221737,254.837531465,0.268808523162,0.03883,Information Technology
FIS,2017-05-03,91.05,68.6378556409,-0.246152052269,60.0,2,0,0.897495718307,259.29285619,0.262056837596,0.139173,Information Technology
FISV,2017-04-27,126.97,146.279641963,0.152080349398,63.0,2,1,0.971247944278,1048.1837758,0.101799123356,0.127632,Information Technology
FITB,2017-05-05,26.14,22.2416074706,-0.149135138845,64.0,4,2,0.873374509964,109.632539373,0.211611410593,0.090093,Financials
FL,2017-06-06,47.25,49.8556996506,0.0551470825528,59.0,2,1,0.909640516184,292.940301728,0.219653310205,0.030516,Consumer Discretionary
FLIR,2017-05-03,37.24,34.0858390595,-0.084698199261,64.0,4,2,0.866728845348,103.430112126,0.21893142044,0.024495,Information Technology
FLR,2017-05-04,45.52,58.1891243356,0.278319954648,61.0,2,1,0.865973095073,194.835654613,0.192951390301,0.029089,Industrials
