Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,Sector
AAPL,2017-05-03,145.83,129.420834892,-0.112522561258,62.0,4,1,0.975787526928,615.590659183,0.247342519715,Information Technology
ABT,2017-05-03,48.48,42.8334398865,-0.116471949535,64.0,5,1,0.93654456254,186.964543944,0.107050148901,Health Care
ACN,2017-06-22,123.74,84.1584343547,-0.319876884155,60.0,2,2,0.79883350139,118.144695831,0.293611409339,Information Technology
AIG,2017-05-04,63.84,39.3169356066,-0.384133214182,64.0,3,1,0.878485899914,152.81945046,0.554866372558,Financials
ALL,2017-05-02,88.58,87.1374003097,-0.0162858398095,63.0,3,2,0.914943583019,223.309317983,0.112413527267,Financials
AMGN,2017-04-27,174.07,144.14115517,-0.171935685815,63.0,3,1,0.895694325717,178.46892671,0.148170147103,Health Care
AMZN,2017-04-28,990.33,2236.25585238,1.25809159813,63.0,4,1,0.947828332848,282.596122206,0.275105633716,Consumer Discretionary
AXP,2017-04-27,83.97,81.469112989,-0.029783101238,63.0,3,2,0.822508910974,96.7711037032,0.188583824289,Financials
BA,2017-04-26,199.62,122.529436792,-0.386186570525,63.0,2,1,0.886549909064,243.247907906,0.192193865615,Industrials
BAC,2017-05-02,23.88,22.691171321,-0.0497834455212,63.0,3,1,0.828804385168,101.052936384,0.224995847766,Financials
BIIB,2017-04-25,274.64,301.013493571,0.0960293241004,63.0,4,2,0.941218781351,249.189667487,0.195582723609,Health Care
BK,2017-05-08,50.6,46.5984475673,-0.0790820638866,63.0,3,1,0.64634119153,38.7700700177,0.149475107889,Financials
BLK,2017-05-09,426.85,362.879356892,-0.149866798895,63.0,4,1,0.896949442563,135.911607521,0.254377070588,Financials
BMY,2017-04-27,55.87,40.1104239797,-0.282075819229,64.0,3,1,0.939830229215,329.012464664,0.133592497901,Health Care
BRKB,2017-05-05,169.89,204.819531555,0.205600868531,64.0,2,1,0.938786099141,484.088999525,0.0943783996542,Financials
C,2017-05-01,65.18,63.2167244916,-0.0301208270701,63.0,3,1,0.935017552418,298.367932455,0.272587054264,Financials
CAT,2017-05-03,106.45,112.023366414,0.0523566595956,63.0,3,1,0.898719309576,184.38670797,0.179401908152,Industrials
CELG,2017-04-27,134.23,256.200463473,0.908667685863,64.0,3,2,0.936306665658,309.70483045,0.288115893144,Health Care
CL,2017-04-28,75.09,69.2349730003,-0.0779734585126,63.0,4,1,0.967654913299,464.707248489,0.0846510076755,Consumer Staples
CMCSA,2017-04-27,39.86,48.8294263669,0.225023240514,53.0,2,1,0.959961643599,624.377305597,0.113560397678,Consumer Discretionary
COF,2017-05-03,82.98,64.2810717306,-0.225342591822,64.0,2,1,0.535553270533,37.3226328262,0.262402223574,Financials
COP,2017-05-04,43.96,43.2271872099,-0.0166699906758,64.0,3,1,0.791374367151,80.6587719504,0.273248600028,Energy
COST,2017-06-01,160.17,217.171006845,0.355878172224,65.0,2,1,0.97586095316,1294.65300575,0.0914532261018,Consumer Staples
CSCO,2017-05-23,32.08,30.430673267,-0.0514129280874,63.0,2,1,0.72184303032,81.4478635413,0.135216456102,Information Technology
