Ticker,Last,Current,Expected,Return,Obs,Nop,Pnop,Adj_R2,F_stat,RSE,Sector
CVS,2017-05-02,81.25,89.4687153863,0.101153420139,63.0,4,3,0.937582492737,233.827763792,0.160413621141,Consumer Staples
CVX,2017-05-04,104.28,96.1746383339,-0.0777269051218,64.0,5,1,0.952626266977,254.370173682,0.114616897954,Energy
DD,2017-04-25,81.28,80.0360438735,-0.0153045783283,63.0,3,1,0.864263983492,132.589655556,0.140805184406,Materials
DHR,2017-04-20,84.72,70.668593986,-0.165857011497,63.0,3,2,0.93898350739,319.039571314,0.144633507602,Health Care
DIS,2017-05-09,106.86,104.654931025,-0.0206351204821,62.0,2,1,0.951767073518,602.84811206,0.142214600435,Consumer Discretionary
DOW,2017-04-27,63.25,65.7919595561,0.0401890838914,63.0,3,1,0.761937516415,67.1452759605,0.196795347325,Materials
DUK,2017-05-09,84.97,88.2282138785,0.0383454616744,41.0,2,0,0.879032481883,146.333639239,0.115712347566,Utilities
EMR,2017-05-04,59.06,43.3735359846,-0.265602167548,50.0,3,1,0.856779518816,98.7099459399,0.1124907173,Industrials
EXC,2017-05-03,36.19,34.1304378605,-0.0569097026662,65.0,2,1,0.816446885981,143.336459346,0.159616548532,Utilities
F,2017-04-27,11.09,10.0382811414,-0.0948348835522,63.0,1,1,0.531143176067,71.2365311437,0.306518851895,Consumer Discretionary
FDX,2017-03-22,217.15,202.923125937,-0.0655163438305,65.0,2,1,0.876396424692,227.892187545,0.138057416868,Industrials
GD,2017-04-26,200.83,220.667372932,0.0987769403575,64.0,3,1,0.926240324072,264.708409247,0.144417690527,Industrials
GE,2017-05-05,27.08,27.0492315057,-0.00113620732437,63.0,2,1,0.846196704409,171.556149241,0.117039751682,Industrials
GILD,2017-05-10,71.92,106.020691235,0.474147542193,64.0,4,0,0.909361453584,159.017129138,0.295607725925,Health Care
GOOGL,2017-05-02,961.01,1044.74942429,0.0871368917011,50.0,3,2,0.928402196164,212.79284454,0.13858988998,Information Technology
GS,2017-05-04,223.22,263.187275016,0.179048808424,61.0,2,1,0.782361046579,108.842971253,0.173605807507,Financials
HAL,2017-04-28,42.01,44.9788156562,0.070669261039,64.0,3,2,0.834373399316,106.791227455,0.25318612106,Energy
HD,2017-05-23,153.23,167.266960521,0.0916071299405,63.0,5,2,0.943545747566,208.246872739,0.150948763589,Consumer Discretionary
HON,2017-04-21,133.97,126.749077056,-0.0538995517187,63.0,6,1,0.953628013524,213.502350851,0.12300187222,Industrials
IBM,2017-04-25,155.32,128.486505144,-0.172762650376,64.0,2,1,0.868656049489,209.328327665,0.145083008392,Information Technology
INTC,2017-04-27,34.2,39.5504489256,0.156445875019,64.0,2,1,0.808636474437,134.108171318,0.135443181274,Information Technology
JNJ,2017-05-08,133.82,125.95503032,-0.058772752055,52.0,3,1,0.967912749686,513.805447131,0.0635089789341,Health Care
JPM,2017-05-02,89.82,80.041989105,-0.108862290081,64.0,3,1,0.875814223622,149.101491431,0.136378199793,Financials
KO,2017-04-27,45.32,44.1171061188,-0.0265422303893,64.0,2,0,0.939827759134,492.997206462,0.0951160067252,Consumer Staples
LLY,2017-05-01,83.1,67.7701606227,-0.184474601412,63.0,4,1,0.887184953537,122.893020576,0.116438882555,Health Care
LMT,2017-04-26,280.02,211.128493998,-0.246023519756,63.0,4,1,0.916749006748,171.683964833,0.179729633079,Industrials
LOW,2017-06-06,77.02,97.7237981988,0.268810675133,61.0,4,1,0.887251912438,119.039950605,0.168273486923,Consumer Discretionary
MA,2017-05-02,124.81,130.222662812,0.043367220671,43.0,3,1,0.980209312868,694.403432057,0.108514144629,Information Technology
MCD,2017-05-08,154.3,153.430560023,-0.00563473737788,64.0,4,1,0.960060191325,379.593401292,0.147165636951,Consumer Discretionary
MDLZ,2017-05-03,44.04,40.7545121382,-0.0746023583517,62.0,7,1,0.846735239354,49.1434399464,0.159996574312,Consumer Staples
MDT,2017-06-27,89.3,94.1851543892,0.0547049763624,64.0,2,1,0.64293313024,57.7187698375,0.193582931195,Health Care
MET,2017-05-05,54.54,55.1183349053,0.010603866983,63.0,2,1,0.784672126217,113.966498416,0.143910897637,Financials
MMM,2017-05-03,210.62,236.273152566,0.121798274457,63.0,6,2,0.954237531419,216.470336217,0.0945186484122,Industrials
MO,2017-05-02,75.84,65.0449899429,-0.14233926763,63.0,5,2,0.960402337637,301.74979875,0.166564488097,Consumer Staples
MON,2017-04-06,118.75,114.82723284,-0.0330338287167,56.0,4,1,0.889833071257,112.060595674,0.231930415134,Materials
MRK,2017-05-09,65.16,56.9196317728,-0.126463600785,63.0,3,1,0.688437754703,46.6657178846,0.201966543782,Health Care
MS,2017-05-04,44.32,37.8241860132,-0.146566200063,61.0,2,1,0.604052875059,46.7676924778,0.208818451371,Financials
MSFT,2017-04-27,69.8,75.1601362062,0.0767927823234,64.0,3,1,0.943748562163,353.323790599,0.0885820284497,Information Technology
NEE,2017-04-21,141.02,158.599215011,0.124657601837,63.0,3,1,0.972686187349,736.971263419,0.100396758317,Utilities
NKE,2017-04-04,53.36,61.4414310844,0.151451107278,63.0,3,1,0.979720322365,999.415936077,0.109944735172,Consumer Discretionary
ORCL,2017-06-27,50.87,53.7306908834,0.0562353230469,65.0,1,0,0.926483276285,807.550219954,0.138885259149,Information Technology
OXY,2017-05-04,59.57,45.9777570493,-0.228172619619,63.0,3,1,0.973550389026,761.693281758,0.117997033575,Energy
PCLN,2017-05-09,1890.21,1804.00685635,-0.0456050616889,63.0,1,1,0.917244009805,688.190479794,0.488039664705,Consumer Discretionary
PEP,2017-04-26,116.38,123.711014541,0.0629920479534,63.0,2,1,0.882374709063,233.548763647,0.130804529126,Consumer Staples
PFE,2017-05-11,33.75,30.5705392478,-0.094206244511,65.0,3,1,0.752155221355,65.7420459827,0.160616940628,Health Care
PG,2017-04-26,88.37,76.8388856834,-0.130486752479,64.0,7,1,0.967808704975,271.578687129,0.0588746981293,Consumer Staples
PM,2017-04-27,118.93,106.736403939,-0.102527504084,33.0,3,1,0.943179807786,178.060024338,0.0868188765676,Consumer Staples
QCOM,2017-04-19,56.16,62.2300048151,0.108084131324,63.0,1,0,0.798402917513,246.544133254,0.21127119939,Information Technology
RTN,2017-04-27,162.55,191.608861842,0.178768759412,63.0,4,1,0.956617935304,342.790509534,0.120755449283,Industrials
SBUX,2017-05-02,59.18,65.0151867485,0.0986006547564,63.0,4,1,0.960114921744,374.116512181,0.163611222056,Consumer Discretionary
SLB,2017-04-26,65.25,73.7072018632,0.129612289091,63.0,3,1,0.898065208862,183.077327173,0.173925701029,Energy
SO,2017-05-03,49.15,53.8462795411,0.0955499397988,64.0,2,1,0.970746938743,1046.3103797,0.0685691969227,Utilities
SPG,2017-05-03,163.8,146.870245658,-0.103356253616,64.0,2,1,0.948116292588,576.627007134,0.17564578782,Real Estate
T,2017-05-04,37.94,39.4840022713,0.0406958953956,63.0,3,1,0.865341389166,133.807860796,0.140198835034,Telecommunication Services
TGT,2017-05-22,52.06,45.6639558401,-0.122859088742,64.0,2,1,0.796316708656,124.151860701,0.135728487846,Consumer Discretionary
TWX,2017-05-03,99.63,111.52654918,0.119407298805,62.0,2,1,0.915865902532,333.016517297,0.135592587901,Consumer Discretionary
TXN,2017-05-03,78.06,92.0203828765,0.178841697111,63.0,2,1,0.886910614948,244.119449723,0.151403775086,Information Technology
UNH,2017-05-08,185.7,222.206998352,0.196591267378,61.0,3,1,0.961850646202,505.255275886,0.122468056057,Health Care
UNP,2017-04-27,108.77,120.647445778,0.109197809851,63.0,2,1,0.977067554561,1321.79652261,0.120386102659,Industrials
UPS,2017-05-04,110.08,101.05466329,-0.0819888872671,63.0,6,2,0.923916451023,126.482272961,0.0869668441288,Industrials
USB,2017-05-05,51.98,45.1664711112,-0.131079817023,64.0,2,0,0.862919551052,199.292069123,0.137349184222,Financials
UTX,2017-04-28,122.5,104.649206406,-0.145720764031,64.0,3,1,0.929966771459,279.857659535,0.132511539087,Industrials
V,2017-04-21,96.23,103.810495599,0.0787747646132,34.0,2,1,0.967399090297,490.62084603,0.111367464582,Information Technology
VZ,2017-04-27,44.84,40.1913423724,-0.103672114799,64.0,2,1,0.887960219091,250.650139214,0.136405983924,Telecommunication Services
WBA,2017-04-05,77.09,84.8476092289,0.100630551679,68.0,2,1,0.863686492459,213.257009736,0.149058353278,Consumer Staples
WFC,2017-05-05,54.33,59.266991748,0.0908704536714,64.0,2,1,0.87217659253,215.933737165,0.138561110724,Financials
WMT,2017-06-02,76.51,75.0539464766,-0.0190308916926,64.0,3,1,0.944079232217,355.531324632,0.0617714646847,Consumer Staples
XOM,2017-05-03,81.53,88.5363225276,0.085935514873,64.0,2,0,0.931238323647,427.604014775,0.106385198052,Energy
