datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,pe,ps,pb,bvps,P0,P1
2010-03-01,BRKB,30.714,3.056,3.639,30.558,1.188,0.099,25.108,1.846,1.489,166.515,81.91,74.59
2010-05-07,BRKB,31.392,3.633,-4.888,25.67,1.345,0.116,13.896,1.542,1.209,156.663,74.41,80.83
2010-08-06,BRKB,30.92,1.968,2.283,27.953,1.367,0.064,16.709,1.633,1.347,146.4,80.47,82.96
2010-11-05,BRKB,35.563,2.989,6.508,34.461,1.354,0.084,17.769,1.609,1.339,148.829,83.72,84.87
2011-02-28,BRKB,35.529,4.377,3.766,38.227,1.285,0.123,16.672,1.621,1.327,153.878,87.28,79.66
2011-05-06,BRKB,33.17,1.511,2.951,41.178,1.292,0.046,18.289,1.467,1.207,154.682,80.21,70.99
2011-08-05,BRKB,37.611,3.417,6.713,47.891,1.295,0.091,14.388,1.247,1.061,156.18,71.25,78.82
2011-11-04,BRKB,33.083,2.278,-13.115,34.776,1.352,0.069,16.507,1.372,1.167,153.424,77.24,80.04
2012-02-27,BRKB,37.315,3.048,2.523,37.299,1.324,0.082,19.378,1.407,1.176,157.437,80.25,81.26
2012-05-04,BRKB,37.516,3.245,0.527,37.826,1.282,0.086,16.765,1.381,1.115,166.715,80.94,84.08
2012-08-03,BRKB,37.86,3.108,2.835,40.661,1.264,0.082,18.168,1.456,1.168,167.124,85.58,87.68
2012-11-02,BRKB,40.345,3.92,7.115,47.776,1.243,0.097,16.186,1.409,1.14,171.774,86.93,102.16
2013-03-01,BRKB,44.006,4.551,-0.784,46.992,1.231,0.103,16.948,1.573,1.311,170.06,102.05,107.3
2013-05-03,BRKB,43.209,4.892,2.097,49.089,1.188,0.113,16.257,1.619,1.325,178.963,108.64,117.28
2013-08-02,BRKB,43.903,4.541,-13.394,35.695,1.178,0.103,16.214,1.693,1.416,176.13,117.82,115.09
2013-11-01,BRKB,45.745,5.053,6.384,42.079,1.167,0.11,14.94,1.608,1.345,180.597,115.27,115.78
2014-03-03,BRKB,46.363,4.99,6.107,48.186,1.16,0.108,14.713,1.599,1.277,190.242,116.06,129.06
2014-05-02,BRKB,45.453,4.705,0.762,48.948,1.149,0.104,16.385,1.742,1.372,194.712,128.09,125.43
2014-08-01,BRKB,49.762,6.395,6.507,55.455,1.13,0.129,14.683,1.657,1.311,195.513,125.83,143.29
2014-11-07,BRKB,51.199,4.617,6.925,62.38,1.153,0.09,17.073,1.834,1.471,197.493,143.61,147.41
2015-03-02,BRKB,48.259,4.155,0.889,63.269,1.165,0.086,18.23,1.861,1.491,198.069,147.08,141.21
2015-05-01,BRKB,48.644,5.164,0.442,63.711,1.169,0.106,17.409,1.789,1.446,199.335,143.36,143.35
2015-08-07,BRKB,51.368,4.013,2.876,66.587,1.17,0.078,19.72,1.775,1.42,199.653,143.55,136.57
2015-11-06,BRKB,58.989,9.428,-0.327,66.26,1.17,0.16,14.716,1.616,1.333,201.19,136.33,131.92
2016-02-29,BRKB,51.82,5.478,5.47,71.73,1.135,0.106,13.778,1.574,1.283,206.194,134.17,143.88
2016-05-06,BRKB,52.403,5.589,-13.388,58.342,1.239,0.107,14.552,1.662,1.362,208.402,144.62,143.12
2016-08-05,BRKB,54.46,5.001,14.337,72.679,1.226,0.092,14.072,1.648,1.347,207.49,145.65,143.64
2016-11-04,BRKB,59.068,7.198,12.156,84.835,1.216,0.122,15.156,1.619,1.293,211.356,142.95,170.22
2017-02-27,BRKB,57.673,6.286,-52.218,86.37,1.168,0.109,17.478,1.882,1.469,219.37,170.63,166.34
2017-05-05,BRKB,65.187,4.06,-2.085,96.464,1.209,0.062,18.23,1.739,1.387,225.433,166.55,178.99
2017-08-04,BRKB,57.518,4.262,0.455,26.418,1.189,0.074,20.359,1.854,1.46,227.866,179.92,179.92
