datekey,ticker,revenue,netinc,ncf,cashneq,de,netmargin,P0,P1
2016-11-02,DXC,,,,0.217,9.328,,67.7875265675,67.7875265675
2016-12-07,DXC,,,,0.217,9.328,,67.7875265675,67.7875265675
2017-02-14,DXC,,,,0.448,10.268,,67.7875265675,67.7875265675
2017-02-24,DXC,,,,0.448,10.268,,67.7875265675,67.7875265675
2017-03-31,DXC,4.147,-0.037,0.815,1.263,1.811,-0.009,67.7875265675,78.72
