Ticker,Name,Asset Class,Weight,Shares,Market Value,Sector,Exchange
MCD,MCDONALDS CORP,Equity,0.96,295978,45817394.4,Consumer Discretionary,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.93,497081,44284946.29,Health Care,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.89,578045,42301333.1,Health Care,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.88,340615,41997829.5,Information Technology,New York Stock Exchange Inc.
BA,BOEING,Equity,0.85,203837,40653251.28,Industrials,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.85,536392,40508323.84,Consumer Staples,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.8,283540,37903627.2,Health Care,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.78,276826,37114061.82,Industrials,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.72,598242,34297213.86,Health Care,New York Stock Exchange Inc.
GILD,GILEAD SCIENCES INC,Equity,0.7,474512,33443605.76,Health Care,NASDAQ
PCLN,THE PRICELINE GROUP INC,Equity,0.7,17854,33260752.22,Consumer Discretionary,NASDAQ
UTX,UNITED TECHNOLOGIES CORP,Equity,0.69,270584,33057247.28,Industrials,New York Stock Exchange Inc.
SLB,SCHLUMBERGER NV,Equity,0.69,504300,32966091,Energy,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.66,293208,31487607.12,Industrials,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.66,525851,31293393.01,Consumer Discretionary,NASDAQ
ABT,ABBOTT LABORATORIES,Equity,0.65,630123,31046160.21,Health Care,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.64,536500,30296155,Information Technology,NASDAQ
AGN,ALLERGAN,Equity,0.63,121961,30137782.71,Health Care,New York Stock Exchange Inc.
LLY,ELI LILLY,Equity,0.62,352591,29726947.21,Health Care,New York Stock Exchange Inc.
USB,US BANCORP,Equity,0.62,575261,29510889.3,Financials,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.61,132935,29215124.95,Financials,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.6,361511,28577444.55,Information Technology,NASDAQ
CVS,CVS HEALTH CORP,Equity,0.6,369958,28568156.76,Consumer Staples,New York Stock Exchange Inc.
TWX,TIME WARNER INC,Equity,0.59,281621,27993127.4,Consumer Discretionary,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.58,225168,27488509.44,Information Technology,New York Stock Exchange Inc.
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.57,250113,27279824.91,Industrials,New York Stock Exchange Inc.
DOW,DOW CHEMICAL,Equity,0.55,408141,26051640.03,Materials,New York Stock Exchange Inc.
DD,E I DU PONT DE NEMOURS,Equity,0.54,314842,25609248.28,Materials,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.53,159266,25449114.14,Consumer Staples,NASDAQ
LMT,LOCKHEED MARTIN CORP,Equity,0.53,90269,25314135.67,Industrials,New York Stock Exchange Inc.
NKE,NIKE INC CLASS B,Equity,0.53,481227,25216294.8,Consumer Discretionary,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.52,550970,24711004.5,Consumer Staples,NASDAQ
LOW,LOWES COMPANIES INC,Equity,0.51,311591,24410038.94,Consumer Discretionary,New York Stock Exchange Inc.
CL,COLGATE-PALMOLIVE,Equity,0.51,320749,24226171.97,Consumer Staples,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.51,170003,24070724.77,Utilities,New York Stock Exchange Inc.
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.5,310095,23681955.15,Consumer Staples,NASDAQ
MS,MORGAN STANLEY,Equity,0.48,517222,23073273.42,Financials,New York Stock Exchange Inc.
AXP,AMERICAN EXPRESS,Equity,0.47,272629,22423735.25,Financials,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.47,213939,22215425.76,Industrials,New York Stock Exchange Inc.
DUK,DUKE ENERGY CORP,Equity,0.46,254147,21927803.16,Utilities,New York Stock Exchange Inc.
PYPL,PAYPAL HOLDINGS INC,Equity,0.46,405678,21853873.86,Information Technology,NASDAQ
BIIB,BIOGEN INC INC,Equity,0.46,77571,21764095.47,Health Care,NASDAQ
GD,GENERAL DYNAMICS CORP,Equity,0.43,102855,20700597.3,Industrials,New York Stock Exchange Inc.
MET,METLIFE INC,Equity,0.43,392344,20484280.24,Financials,New York Stock Exchange Inc.
AIG,AMERICAN INTERNATIONAL GROUP INC,Equity,0.42,319442,20140818.1,Financials,New York Stock Exchange Inc.
COP,CONOCOPHILLIPS,Equity,0.42,449228,20129906.68,Energy,New York Stock Exchange Inc.
KHC,KRAFT HEINZ,Equity,0.41,216657,19304138.7,Consumer Staples,NASDAQ
DHR,DANAHER CORP,Equity,0.4,221809,19066701.64,Health Care,New York Stock Exchange Inc.
FDX,FEDEX CORP,Equity,0.4,89323,18903426.49,Industrials,New York Stock Exchange Inc.
BK,BANK OF NEW YORK MELLON CORP,Equity,0.39,377611,18710625.05,Financials,New York Stock Exchange Inc.
MON,MONSANTO,Equity,0.39,159344,18617752.96,Materials,New York Stock Exchange Inc.
BLK,BLACKROCK INC,Equity,0.39,43966,18605092.22,Financials,New York Stock Exchange Inc.
SO,SOUTHERN,Equity,0.38,361167,18195593.46,Utilities,New York Stock Exchange Inc.
SPG,SIMON PROPERTY GROUP REIT INC,Equity,0.38,113372,18040886.36,Real Estate,New York Stock Exchange Inc.
GM,GENERAL MOTORS,Equity,0.36,498663,17049287.97,Consumer Discretionary,New York Stock Exchange Inc.
RTN,RAYTHEON,Equity,0.36,105637,17013895.22,Industrials,New York Stock Exchange Inc.
OXY,OCCIDENTAL PETROLEUM CORP,Equity,0.35,277641,16716764.61,Energy,New York Stock Exchange Inc.
F,F MOTOR,Equity,0.33,1420241,15807282.33,Consumer Discretionary,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.3,175378,14098637.42,Financials,New York Stock Exchange Inc.
EMR,EMERSON ELECTRIC,Equity,0.29,234457,13769659.61,Industrials,New York Stock Exchange Inc.
HAL,HALLIBURTON,Equity,0.28,315148,13204701.2,Energy,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Equity,0.27,697958,12968059.64,Energy,New York Stock Exchange Inc.
EXC,EXELON CORP,Equity,0.26,336937,12352110.42,Utilities,New York Stock Exchange Inc.
ALL,ALLSTATE CORP,Equity,0.25,132613,11711054.03,Financials,New York Stock Exchange Inc.
TGT,TARGET CORP,Equity,0.21,200287,10140530.81,Consumer Discretionary,New York Stock Exchange Inc.
