Name,Ticker,Weight,Sector,Shares
Foot Locker Inc.,FL,0.030516,Consumer Discretionary,1508966
Staples Inc.,SPLS,0.030324,Consumer Discretionary,7123187
Stericycle Inc.,SRCL,0.03024,Industrials,936001
Jacobs Engineering Group Inc.,JEC,0.029892,Industrials,1349807
H&R Block Inc.,HRB,0.029854,Consumer Discretionary,2315400
Robert Half International Inc.,RHI,0.029585,Industrials,1442464
Xerox Corporation,XRX,0.02942,Information Technology,2373301
Fluor Corporation,FLR,0.029089,Industrials,1528221
Helmerich & Payne Inc.,HP,0.02872,Energy,1190003
People's United Financial Inc.,PBCT,0.028653,Financials,3853764
Flowserve Corporation,FLS,0.028156,Industrials,1433779
Garmin Ltd.,GRMN,0.027969,Consumer Discretionary,1292735
Assurant Inc.,AIZ,0.027722,Financials,622174
Michael Kors Holdings Ltd,KORS,0.027066,Consumer Discretionary,1833625
Nordstrom Inc.,JWN,0.025731,Consumer Discretionary,1296099
Newfield Exploration Company,NFX,0.024668,Energy,2183757
News Corporation Class A,NWSA,0.024656,Consumer Discretionary,4190226
Gap Inc.,GPS,0.024617,Consumer Discretionary,2484267
FLIR Systems Inc.,FLIR,0.024495,Information Technology,1512996
Quanta Services Inc.,PWR,0.023087,Industrials,1672502
CSRA Inc.,CSRA,0.02295,Information Technology,1621500
Mallinckrodt Plc,MNK,0.021854,Health Care,1109991
Navient Corp,NAVI,0.021313,Financials,3386827
Bed Bath & Beyond Inc.,BBBY,0.021283,Consumer Discretionary,1709321
TripAdvisor Inc.,TRIP,0.020066,Consumer Discretionary,1256433
Ralph Lauren Corporation Class A,RL,0.019858,Consumer Discretionary,638744
Murphy Oil Corporation,MUR,0.019358,Energy,1777335
Signet Jewelers Limited,SIG,0.019223,Consumer Discretionary,775881
Range Resources Corporation,RRC,0.01903,Energy,2086351
Discovery Communications Inc. Class A,DISCA,0.018553,Consumer Discretionary,1654741
Chesapeake Energy Corporation,CHK,0.016854,Energy,8261818
Patterson Companies Inc.,PDCO,0.01667,Health Care,921068
Under Armour Inc. Class C,UA,0.016185,Consumer Discretionary,2015727
Transocean Ltd.,RIG,0.015891,Energy,4308848
AutoNation Inc.,AN,0.013286,Consumer Discretionary,733374
