Name,Ticker,Weight,Sector,Shares
Dominion Energy Inc,D,0.228313,Utilities,7039290
Prudential Financial Inc.,PRU,0.224424,Financials,4794238
CSX Corporation,CSX,0.222088,Industrials,10357892
Southern Company,SO,0.221058,Utilities,11083276
Automatic Data Processing Inc.,ADP,0.218487,Information Technology,5016092
Becton Dickinson and Company,BDX,0.218064,Health Care,2544433
Northrop Grumman Corporation,NOC,0.217832,Industrials,1951912
Occidental Petroleum Corporation,OXY,0.217309,Energy,8518966
Illinois Tool Works Inc.,ITW,0.216239,Industrials,3487144
Ford Motor Company,F,0.215858,Consumer Discretionary,43771332
Stryker Corporation,SYK,0.215723,Health Care,3472209
TJX Companies Inc,TJX,0.211213,Consumer Discretionary,7199774
Cigna Corporation,CI,0.210516,Health Care,2862351
Kimberly-Clark Corporation,KMB,0.2076,Consumer Staples,3981343
Activision Blizzard Inc.,ATVI,0.199161,Information Technology,7735943
Johnson Controls International plc,JCI,0.194412,Industrials,10456652
Cognizant Technology Solutions Corporation Class A,CTSH,0.194408,Information Technology,6592836
Marsh & McLennan Companies Inc.,MMC,0.193494,Financials,5764268
CME Group Inc. Class A,CME,0.192235,Financials,3783009
Regeneron Pharmaceuticals Inc.,REGN,0.186824,Health Care,850537
Vertex Pharmaceuticals Incorporated,VRTX,0.186565,Health Care,2778053
Kinder Morgan Inc Class P,KMI,0.185711,Energy,21429942
Halliburton Company,HAL,0.185438,Energy,9694858
Intercontinental Exchange Inc.,ICE,0.184874,Financials,6661838
S&P Global Inc.,SPGI,0.184053,Financials,2889537
Capital One Financial Corporation,COF,0.183704,Financials,5380056
Emerson Electric Co.,EMR,0.183343,Industrials,7213645
Delta Air Lines Inc.,DAL,0.182825,Industrials,8210354
Praxair Inc.,PX,0.18131,Materials,3181423
Boston Scientific Corporation,BSX,0.179122,Health Care,15325200
eBay Inc.,EBAY,0.177098,Information Technology,11300876
BB&T Corporation,BBT,0.177007,Financials,9078038
Express Scripts Holding Company,ESRX,0.175401,Health Care,6643370
Deere & Company,DE,0.173513,Industrials,3277548
Southwest Airlines Co.,LUV,0.172294,Industrials,6767680
Phillips 66,PSX,0.172071,Energy,4956768
Aon plc,AON,0.171557,Financials,2931582
Eaton Corp. Plc,ETN,0.16851,Industrials,5025023
Intuitive Surgical Inc.,ISRG,0.168206,Health Care,410680
Crown Castle International Corp,CCI,0.167971,Real Estate,4096964
McKesson Corporation,MCK,0.164509,Health Care,2364440
Exelon Corporation,EXC,0.164258,Utilities,10364468
Travelers Companies Inc.,TRV,0.164168,Financials,3126675
Ecolab Inc.,ECL,0.163773,Materials,2933579
PG&E Corporation,PCG,0.162913,Utilities,5714266
Electronic Arts Inc.,EA,0.162727,Information Technology,3447981
Norfolk Southern Corporation,NSC,0.162263,Industrials,3248145
Equinix Inc.,EQIX,0.161547,Real Estate,868680
Constellation Brands Inc. Class A,STZ,0.161214,Consumer Staples,1930549
Humana Inc.,HUM,0.160577,Health Care,1615443
American Electric Power Company Inc.,AEP,0.159211,Utilities,5498236
Micron Technology Inc.,MU,0.156635,Information Technology,11613036
Intuit Inc.,INTU,0.155036,Information Technology,2717571
Allstate Corporation,ALL,0.153532,Financials,4082665
Marriott International Inc. Class A,MAR,0.151767,Consumer Discretionary,3516286
HP Inc.,HPQ,0.151692,Information Technology,19001608
State Street Corporation,STT,0.151606,Financials,3958244
Air Products and Chemicals Inc.,APD,0.149106,Materials,2422822
General Mills Inc.,GIS,0.148053,Consumer Staples,6484361
Aflac Incorporated,AFL,0.146964,Financials,4488585
Prologis Inc.,PLD,0.14695,Real Estate,5892175
Public Storage,PSA,0.145421,Real Estate,1662470
Zoetis Inc. Class A,ZTS,0.145387,Health Care,5496910
Baxter International Inc.,BAX,0.145168,Health Care,5463381
Valero Energy Corporation,VLO,0.14368,Energy,5048603
Target Corporation,TGT,0.142972,Consumer Discretionary,6214750
Waste Management Inc.,WM,0.142956,Industrials,4522198
Hewlett Packard Enterprise Co.,HPE,0.140128,Information Technology,18572840
Analog Devices Inc.,ADI,0.139959,Information Technology,4107049
Fidelity National Information Services Inc.,FIS,0.139173,Information Technology,3676539
Corning Inc,GLW,0.138676,Information Technology,10375569
TE Connectivity Ltd.,TEL,0.137618,Information Technology,3953273
Alexion Pharmaceuticals Inc.,ALXN,0.137432,Health Care,2511805
Marathon Petroleum Corporation,MPC,0.136889,Energy,5862288
LyondellBasell Industries NV,LYB,0.135343,Materials,3689972
Sempra Energy,SRE,0.134373,Utilities,2795023
Sherwin-Williams Company,SHW,0.134229,Materials,907862
Pioneer Natural Resources Company,PXD,0.130664,Energy,1898586
Western Digital Corporation,WDC,0.130526,Information Technology,3259383
PPG Industries Inc.,PPG,0.129275,Materials,2873933
SunTrust Banks Inc.,STI,0.128857,Financials,5495508
Fiserv Inc.,FISV,0.127632,Information Technology,2398862
Progressive Corporation,PGR,0.127363,Financials,6501084
Welltower Inc.,HCN,0.127293,Real Estate,4097728
Lam Research Corporation,LRCX,0.126075,Information Technology,1815014
AvalonBay Communities Inc.,AVB,0.123037,Real Estate,1535383
Zimmer Biomet Holdings Inc.,ZBH,0.122717,Health Care,2248761
PPL Corporation,PPL,0.122501,Utilities,7600255
Williams Companies Inc.,WMB,0.122352,Energy,9235774
American Airlines Group Inc.,AAL,0.121633,Industrials,5513488
Newell Brands Inc,NWL,0.121008,Consumer Discretionary,5406623
Edison International,EIX,0.120465,Utilities,3643147
Weyerhaeuser Company,WY,0.120024,Real Estate,8375246
Cummins Inc.,CMI,0.119858,Industrials,1729394
Sysco Corporation,SYY,0.118965,Consumer Staples,5553829
Edwards Lifesciences Corporation,EW,0.11875,Health Care,2359203
Consolidated Edison Inc.,ED,0.118483,Utilities,3411014
Delphi Automotive PLC,DLPH,0.118193,Consumer Discretionary,3011974
Yum! Brands Inc.,YUM,0.118193,Consumer Discretionary,3757888
Illumina Inc.,ILMN,0.118077,Health Care,1628991
HCA Healthcare Inc,HCA,0.116635,Health Care,3226659
M&T Bank Corporation,MTB,0.116479,Financials,1723509
Equity Residential,EQR,0.116204,Real Estate,4105033
CBS Corporation Class B,CBS,0.115471,Consumer Discretionary,4159681
Anadarko Petroleum Corporation,APC,0.115099,Energy,6228872
Cardinal Health Inc.,CAH,0.114934,Health Care,3526655
Ventas Inc.,VTR,0.1138,Real Estate,3947243
PACCAR Inc,PCAR,0.113374,Industrials,3923848
Xcel Energy Inc.,XEL,0.112887,Utilities,5682703
Roper Technologies Inc.,ROP,0.112782,Industrials,1139345
Ingersoll-Rand Plc,IR,0.112773,Industrials,2902526
Discover Financial Services,DFS,0.111498,Financials,4310423
Archer-Daniels-Midland Company,ADM,0.111474,Consumer Staples,6385145
International Paper Company,IP,0.110863,Materials,4620944
C. R. Bard Inc.,BCR,0.110229,Health Care,812425
Amphenol Corporation Class A,APH,0.109686,Information Technology,3439490
Synchrony Financial,SYF,0.107176,Financials,8610738
Incyte Corporation,INCY,0.106578,Health Care,1889950
Public Service Enterprise Group Inc,PEG,0.106106,Utilities,5660808
Stanley Black & Decker Inc.,SWK,0.105482,Industrials,1706379
DXC Technology Co.,DXC,0.105195,Information Technology,3173644
Parker-Hannifin Corporation,PH,0.103873,Industrials,1484938
Estee Lauder Companies Inc. Class A,EL,0.102549,Consumer Staples,2505394
Rockwell Automation Inc.,ROK,0.101665,Industrials,1445785
Autodesk Inc.,ADSK,0.101515,Information Technology,2191296
Ross Stores Inc.,ROST,0.101502,Consumer Discretionary,4406485
Kroger Co.,KR,0.101282,Consumer Staples,10330732
Moody's Corporation,MCO,0.100036,Financials,1866288
Monster Beverage Corporation,MNST,0.099779,Consumer Staples,4520252
Ameriprise Financial Inc.,AMP,0.099297,Financials,1722230
ONEOK Inc.,OKE,0.098216,Energy,4252926
United Continental Holdings Inc.,UAL,0.095819,Industrials,3153869
KeyCorp,KEY,0.094969,Financials,12265413
T. Rowe Price Group,TROW,0.093924,Financials,2748340
Skyworks Solutions Inc.,SWKS,0.093808,Information Technology,2067643
