Ticker,Name,Asset Class,Weight,Sector
SBNY,SIGNATURE BANK,Equity,0.45,Financials
WR,WESTAR ENERGY INC,Equity,0.45,Utilities
MAN,MANPOWER INC,Equity,0.44,Industrials
OGE,OGE ENERGY CORP,Equity,0.44,Utilities
ARW,ARROW ELECTRONICS INC,Equity,0.43,Information Technology
STE,STERIS,Equity,0.43,Health Care
KRC,KILROY REALTY REIT CORP,Equity,0.42,Real Estate
NDSN,NORDSON CORP,Equity,0.42,Industrials
RPM,RPM INTERNATIONAL INC,Equity,0.42,Materials
GXP,GREAT PLAINS ENERGY INC,Equity,0.41,Utilities
ODFL,OLD DOMINION FREIGHT LINE INC,Equity,0.41,Industrials
TER,TERADYNE INC,Equity,0.41,Information Technology
WRB,WR BERKLEY CORP,Equity,0.41,Financials
LII,LENNOX INTERNATIONAL INC,Equity,0.4,Industrials
SCI,SERVICE,Equity,0.4,Consumer Discretionary
FDS,FACTSET RESEARCH SYSTEMS INC,Equity,0.39,Financials
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Equity,0.39,Industrials
CPRT,COPART INC,Equity,0.39,Industrials
GGG,GRACO INC,Equity,0.39,Industrials
WST,WEST PHARMACEUTICAL SERVICES INC,Equity,0.39,Health Care
CSL,CARLISLE COMPANIES INC,Equity,0.39,Industrials
BIVV,BIOVERATIV INC,Equity,0.39,Health Care
ACC,AMERICAN CAMPUS COMMUNITIES REIT I,Equity,0.39,Real Estate
NYCB,NEW YORK COMMUNITY BANCORP DS REP,Equity,0.38,Financials
DCI,DONALDSON INC,Equity,0.38,Industrials
PTC,PTC INC,Equity,0.38,Information Technology
LPT,LIBERTY PROPERTY REIT TRUST,Equity,0.38,Real Estate
UTHR,UNITED THERAPEUTICS CORP,Equity,0.38,Health Care
JHG,JANUS HENDERSON GROUP PLC,Equity,0.38,Financials
ABMD,ABIOMED INC,Equity,0.38,Health Care
OA,ORBITAL ATK INC,Equity,0.38,Industrials
HUBB,HUBBELL INC,Equity,0.37,Industrials
